03/31/1995,141991.54
04/30/1995,159560.19
05/31/1995,170391.97
06/30/1995,140607.65
07/31/1995,150583.33
08/31/1995,150343.79
09/30/1995,185063.46
10/31/1995,174234.00
11/30/1995,198335.01
12/31/1995,211826.38
01/31/1996,209012.74
02/29/1996,217004.45
03/31/1996,213816.69
04/30/1996,211738.19
05/31/1996,215113.59
06/30/1996,192463.15
07/31/1996,193307.10
08/31/1996,195294.82
09/30/1996,198968.42
10/31/1996,201982.79
11/30/1996,203022.55
12/31/1996,215719.56
01/31/1997,218659.39
02/28/1997,217517.55
03/31/1997,219907.13
04/30/1997,219658.75
05/31/1997,225596.44
06/30/1997,233102.81
07/31/1997,242166.21
08/31/1997,237319.79
09/30/1997,236710.50
10/31/1997,234653.22
11/30/1997,237591.47
12/31/1997,237817.64
01/31/1998,239204.35
02/28/1998,248354.18
03/31/1998,256129.67
04/30/1998,261016.76
05/31/1998,263832.22
06/30/1998,266042.52
07/31/1998,265588.82
08/31/1998,244267.06
09/30/1998,249190.26
10/31/1998,260640.44
11/30/1998,271141.43
12/31/1998,289660.33
01/31/1999,320755.24
02/28/1999,312842.63
03/31/1999,315028.78
04/30/1999,321386.34
05/31/1999,318980.95
06/30/1999,339546.16
07/31/1999,328490.13
08/31/1999,330704.83
09/30/1999,317656.28
10/31/1999,333630.18
11/30/1999,370892.05
12/31/1999,377003.38
01/31/2000,382784.32
02/29/2000,391676.01
03/31/2000,425933.94
04/30/2000,389051.28
05/31/2000,351211.44
06/30/2000,372948.35
07/31/2000,344508.01
08/31/2000,369382.78
09/30/2000,350654.91
10/31/2000,354029.19
11/30/2000,351869.35
12/31/2000,334089.27
01/31/2001,393721.11
02/28/2001,382467.31
03/31/2001,329657.90
04/30/2001,394885.91
05/31/2001,394221.43
06/30/2001,391373.86
07/31/2001,401537.07
08/31/2001,388366.41
09/30/2001,361394.66
10/31/2001,378162.88
11/30/2001,394173.37
12/31/2001,396037.11
01/31/2002,403302.53
02/28/2002,391728.91
03/31/2002,408349.01
04/30/2002,379950.25
05/31/2002,378929.01
06/30/2002,369473.76
07/31/2002,363504.54
08/31/2002,363107.77
09/30/2002,351213.62
10/31/2002,369443.62
11/30/2002,383187.90
