All Transactions Report Created: 2018-08-15 22:58:52 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"12/31/2017","Interest Income","",,"",,"Investments:Interest Income","Investments:Interest Income","",,"61.75","IBM Pension",""
﻿,,"12/31/2017","Payment/Deposit","",,"","Balance Adjustment","Misc","Misc","",,"0.00","13914 Ash House",
﻿,,"12/31/2017","Payment/Deposit","",,"","Balance Adjustment","Misc","Misc","",,"-1,000.00","2013 Leaf",
﻿,,"12/31/2017","Payment/Deposit","",,"","Balance Adjustment","Misc","Misc","",,"-300.00","2003 Accord",
﻿,,"12/31/2017","Payment/Deposit","",,"","Balance Adjustment","Misc","Misc","",,"-500.00","2006 Odyssey",
﻿,,"12/31/2017","Payment/Deposit","",,"","Hen House","Groceries","Groceries","",,"-81.58","Sears 9920(29)",
﻿,,"12/31/2017","Payment/Deposit","",,"","Progressive","Insurance:Automobile","Insurance:Automobile","",,"-267.68","Discover4221(6)","MD car insurance"
﻿,,"12/31/2017","Payment/Deposit","",,"","PAPA MURPHY'S KS023 LEAWOOD KS","Dining","Dining","",,"-34.91","Discover 3128(6)","crossroads roundrobin"
﻿,,"12/31/2017","Payment/Deposit","",,"","INTEREST CREDITED DEPOSIT","Int Inc","Int Inc","",,"13.52","Savings",
﻿,,"12/31/2017","Payment/Deposit","",,"","INTEREST CREDITED DEPOSIT","Int Inc","Int Inc","",,"0.62","Checking",
﻿,,"12/31/2017","Payment/Deposit","",,"","Balance Adjustment","Cash","Cash","",,"-85.00","Terry Cash","bal 50"
﻿,,"12/31/2017","Payment/Deposit","",,"","Balance Adjustment","Cash","Cash","",,"-170.00","Greg Cash","bal 30"
﻿,,"12/30/2017","Payment/Deposit","",,"","Bo Lings","Dining:Family","Dining:Family","",,"-44.47","Sears 9920(29)",
﻿,,"12/30/2017","Payment/Deposit","",,"","HELLOFRESH NEW YORK CITYNY","Groceries","Groceries","",,"-59.94","Discover 3128(6)",
﻿,,"12/30/2017","Payment/Deposit","",,"","HELLOFRESH NEW YORK CITYNY","Groceries","Groceries","",,"-10.00","Discover 3128(6)","upgrade"
﻿,,"12/29/2017","Interest Income","",,"",,"Investments:Interest Income","Investments:Interest Income","",,"0.25","TD IRA (Scottrade)","INT EARNED BANK DEP PROGRAM 31 DAYS @ 0.01% APYE 0.01% $.25 CR."
﻿,,"12/29/2017","Reinvest Dividend","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","19.841 shares @ 12.410161","Investments:Reinvest Dividend","","19.841","0.00","IBM 401k Fidelity","DIVIDEND;VANG LT TREASURY ADM OQAX;as of 12/29/2017"
﻿,,"12/29/2017","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","453.563 shares @ 12.410007","Investments:Buy","","453.563","-5,628.72","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 12/29/2017"
﻿,,"12/29/2017","Buy","",,"Stable Value","Stable Value","854.487 shares @ 6.587262","Investments:Buy","","854.487","-5,628.73","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 12/29/2017"
﻿,,"12/29/2017","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","0.13 shares @ 1.00","Investments:Buy","","0.13","-0.13","Fidelity HSA XX5575",""
﻿,,"12/29/2017","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","214.58 shares @ 1.00","Investments:Buy","","214.58","-214.58","Fidelity HSA XX5575",""
﻿,,"12/29/2017","Payment/Deposit","",,"","Baymont Inn Roswell","Vacation","Vacation","",,"-466.80","Wyndham Visa 3374(8)","Atlanta"
﻿,,"12/29/2017","Payment/Deposit","",,"","Shell","Auto:Fuel","Auto:Fuel","",,"-14.53","BOA AAA 8044(1)","atlanta"
﻿,,"12/29/2017","Payment/Deposit","",,"","Prisa Lhc Llc","Fix Me","Fix Me","",,"-3.00","BOA AAA 8044(1)",
﻿,,"12/29/2017","Payment/Deposit","",,"","Paschals B","Dining:Family","Dining:Family","",,"-19.19","Discover4221(6)","airport breakfast"
﻿,,"12/29/2017","Payment/Deposit","",,"","MyFax","Supplies","Supplies","",,"-10.00","Discover4221(6)","efax"
﻿,,"12/29/2017","Payment/Deposit","",,"","Tbo Trf","Fix Me","Fix Me","",,"-300.00","Checking","MD loan payment"
﻿,,"12/29/2017","Payment/Deposit","",,"","Interest Earned","Uncategorized","Uncategorized","",,"0.13","Fidelity HSA XX5575","INTEREST EARNED"
﻿,,"12/29/2017","Payment/Deposit","",,"","IBM match 2017","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-10,918.25","Deferred 401k Match",
﻿,,"12/29/2017","Payment/Deposit","",,"","IBM match 2017","Transfer:[Deferred 401k Match]","Transfer:[Deferred 401k Match]","",,"10,918.25","IBM 401k Fidelity",
﻿,,"12/29/2017","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"214.58","Fidelity HSA XX5575","Medical savings plan"
﻿,,"12/29/2017","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"17.00","Savings","award tax assist"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-78.90","Savings","Paycheck"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-85.19","Savings","Paycheck"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-577.30","Savings","Paycheck"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-207.85","Savings","Paycheck"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-124.78","Savings","Health care (medical + dental)"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-214.58","Savings","Medical savings plan"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"0.00","Savings","Life Insurance"
﻿,"S","12/29/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,,"12/29/2017","Payment/Deposit","Deposit",,"","IBM Match","Misc Inc","Misc Inc","",,"498.25","Deferred 401k Match","IBM Match"
﻿,,"12/28/2017","Payment/Deposit","",,"","El Felix","Dining:Family","Dining:Family","",,"-58.64","Sears 9920(29)",
﻿,,"12/28/2017","Payment/Deposit","",,"","Fairfield","Vacation","Vacation","",,"-169.85","Checking","Vacation fees"
﻿,,"12/27/2017","Payment/Deposit","",,"","Shell","Auto:Fuel","Auto:Fuel","",,"-18.58","BOA AAA 8044(1)","atlanta"
﻿,,"12/27/2017","Payment/Deposit","",,"","Stoney River","Dining:Family","Dining:Family","",,"-41.48","Sears 9920(29)",
﻿,,"12/27/2017","Payment/Deposit","",,"","CVS Pharmacy","Fix Me","Fix Me","",,"-16.98","Discover 3128(6)",
﻿,,"12/27/2017","Payment/Deposit","",,"","APL* ITUNES.COM/BILL 866-712-775","Subscriptions","Subscriptions","",,"-16.35","Discover 3128(6)","HBO"
﻿,,"12/27/2017","Payment/Deposit","",,"","RESURGENS ROSWELL ROSWELL GA","Medical:Devices","Medical:Devices","",,"-44.10","Discover4221(6)","MD boot"
﻿,,"12/27/2017","Payment/Deposit","",,"","WAFFLE HOUSE 1038 ROSWELL GA","Dining:Family","Dining:Family","",,"-24.74","Discover4221(6)",
﻿,,"12/27/2017","Payment/Deposit","",,"","Discover Card","Transfer:[Checking]","Transfer:[Checking]","",,"4,015.62","Discover 3128(6)","payment (auto)"
﻿,,"12/27/2017","Payment/Deposit","",,"","Discover Card","Transfer:[Discover 3128(6)]","Transfer:[Discover 3128(6)]","",,"-4,015.62","Checking","payment (auto)"
﻿,,"12/27/2017","Payment/Deposit","",,"","Barclay (Apple)","Transfer:[Checking]","Transfer:[Checking]","",,"27.00","Apple Rewards 2672(3)","payment (auto)"
﻿,,"12/27/2017","Payment/Deposit","",,"","Barclay (Apple)","Transfer:[Apple Rewards 2672(3)]","Transfer:[Apple Rewards 2672(3)]","",,"-27.00","Checking","payment (auto)"
﻿,,"12/26/2017","Interest Income","",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","Investments:Interest Income","",,"0.04","TD IRA (E*Trade)","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
﻿,,"12/26/2017","Interest Income","",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","Investments:Interest Income","",,"0.02","GD IRA (E*Trade)","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
﻿,,"12/26/2017","Interest Income","",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","Investments:Interest Income","",,"0.16","ETrade","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
﻿,,"12/26/2017","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-60.26","Kohls 3215(25)",
﻿,,"12/26/2017","Payment/Deposit","Check","4630","","Alma Hedges","Personal","Personal","",,"-35.00","Checking","TD haircut"
﻿,,"12/26/2017","Payment/Deposit","",,"","CVS Pharmacy","Fix Me","Fix Me","",,"-28.88","Discover 3128(6)",
﻿,,"12/26/2017","Payment/Deposit","",,"","Ancestry.Com","Membership","Membership","",,"-19.95","Discover 3128(6)",
﻿,,"12/26/2017","Payment/Deposit","",,"","APL* ITUNES.COM/BILL 866-712-775","Household:Electronics","Household:Electronics","",,"-1.08","Discover 3128(6)","app"
