dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2016-04-08,26.82,26.82,26.82,26.82,000,26.82
2016-04-07,26.73,26.73,26.73,26.73,000,26.73
2016-04-06,27.08,27.08,27.08,27.08,000,27.08
2016-04-05,26.799999,26.799999,26.799999,26.799999,000,26.799999
2016-04-04,27.120001,27.120001,27.120001,27.120001,000,27.120001
2016-04-01,27.209999,27.209999,27.209999,27.209999,000,27.209999
2016-03-31,27.02,27.02,27.02,27.02,000,27.02
2016-03-30,27.10,27.10,27.10,27.10,000,27.10
2016-03-29,26.959999,26.959999,26.959999,26.959999,000,26.959999
2016-03-28,26.719999,26.719999,26.719999,26.719999,000,26.719999
2016-03-24,26.700001,26.700001,26.700001,26.700001,000,26.700001
2016-03-23,26.75,26.75,26.75,26.75,000,26.75
2016-03-22,26.82,26.82,26.82,26.82,000,26.82
2016-03-21,26.879999,26.879999,26.879999,26.879999,000,26.879999
2016-03-18,26.92,26.92,26.92,26.92,000,26.92
2016-03-17,26.799999,26.799999,26.799999,26.799999,000,26.799999
2016-03-16,26.65,26.65,26.65,26.65,000,26.65
2016-03-15,26.530001,26.530001,26.530001,26.530001,000,26.530001
2016-03-14,26.76,26.76,26.76,26.76,000,26.76
2016-03-11,26.780001,26.780001,26.780001,26.780001,000,26.780001
2016-03-10,26.280001,26.280001,26.280001,26.280001,000,26.280001
2016-03-09,26.27,26.27,26.27,26.27,000,26.27
2016-03-08,26.15,26.15,26.15,26.15,000,26.15
2016-03-07,26.49,26.49,26.49,26.49,000,26.49
2016-03-04,26.50,26.50,26.50,26.50,000,26.50
2016-03-03,26.370001,26.370001,26.370001,26.370001,000,26.370001
2016-03-02,26.27,26.27,26.27,26.27,000,26.27
2016-03-01,26.23,26.23,26.23,26.23,000,26.23
2016-02-29,25.610001,25.610001,25.610001,25.610001,000,25.610001
2016-02-26,25.889999,25.889999,25.889999,25.889999,000,25.889999
2016-02-25,25.93,25.93,25.93,25.93,000,25.93
2016-02-24,25.610001,25.610001,25.610001,25.610001,000,25.610001
2016-02-23,25.48,25.48,25.48,25.48,000,25.48
2016-02-22,25.780001,25.780001,25.780001,25.780001,000,25.780001
2016-02-19,25.48,25.48,25.48,25.48,000,25.48
2016-02-18,25.49,25.49,25.49,25.49,000,25.49
2016-02-17,25.639999,25.639999,25.639999,25.639999,000,25.639999
2016-02-16,25.23,25.23,25.23,25.23,000,25.23
2016-02-12,24.799999,24.799999,24.799999,24.799999,000,24.799999
2016-02-11,24.27,24.27,24.27,24.27,000,24.27
2016-02-10,24.67,24.67,24.67,24.67,000,24.67
2016-02-09,24.690001,24.690001,24.690001,24.690001,000,24.690001
2016-02-08,24.700001,24.700001,24.700001,24.700001,000,24.700001
2016-02-05,25.219999,25.219999,25.219999,25.219999,000,25.219999
2016-02-04,25.690001,25.690001,25.690001,25.690001,000,25.690001
2016-02-03,25.59,25.59,25.59,25.59,000,25.59
2016-02-02,25.530001,25.530001,25.530001,25.530001,000,25.530001
