54.86,12/7/98
55.52,11/30/98
57.02,11/23/98
55.98,11/16/98
54.31,11/9/98
55.29,11/2/98
53.37,10/26/98
51.9,10/19/98
51.56,10/12/98
48.32,10/5/98
49.22,9/28/98
50.77,9/21/98
50,9/14/98
49.12,9/7/98
47.75,8/31/98
49.89,8/24/98
52.69,8/17/98
52.35,8/10/98
53.83,8/3/98
55.88,7/27/98
56.83,7/20/98
59.16,7/13/98
58.28,7/6/98
58.04,6/29/98
56.97,6/22/98
55.84,6/15/98
56.13,6/8/98
57.28,6/1/98
56.76,5/25/98
57.72,5/18/98
57.64,5/11/98
57.44,5/4/98
58.06,4/27/98
57.16,4/20/98
58.54,4/13/98
58.08,4/6/98
58.37,3/30/98
57.49,3/23/98
57.87,3/16/98
56.16,3/9/98
55.46,3/2/98
55.58,2/23/98
54.65,2/16/98
54.11,2/9/98
53.79,2/2/98
52.2,1/26/98
51.1,1/19/98
51.58,1/12/98
50.07,1/5/98
52.46,12/29/97
50.68,12/22/97
51.1313,12/15/97
51.5566,12/8/97
52.5908,12/1/97
