44.78,12/7/98
44.21,11/30/98
44.95,11/23/98
43.75,11/16/98
41.72,11/9/98
42.64,11/2/98
41.52,10/26/98
40.54,10/19/98
39.58,10/12/98
35.77,10/5/98
37.31,9/28/98
39.9,9/21/98
39.57,9/14/98
40.79,9/7/98
40.62,8/31/98
41.89,8/24/98
44.15,8/17/98
44.54,8/10/98
46.27,8/3/98
47.64,7/27/98
48.79,7/20/98
50.25,7/13/98
48.02,7/6/98
47.39,6/29/98
46.59,6/22/98
45.74,6/15/98
45.29,6/8/98
46.53,6/1/98
46.1,5/25/98
46.78,5/18/98
45.86,5/11/98
45.78,5/4/98
45.37,4/27/98
45.02,4/20/98
45.18,4/13/98
44.81,4/6/98
44.56,3/30/98
44.12,3/23/98
43.38,3/16/98
42.86,3/9/98
41.96,3/2/98
42.01,2/23/98
40.91,2/16/98
40.36,2/9/98
40.44,2/2/98
39.19,1/26/98
38.49,1/19/98
37.98,1/12/98
36.86,1/5/98
37.95,12/29/97
39.47,12/22/97
39.5,12/15/97
39.65,12/8/97
40.95,12/1/97
