7.7923,04/28/95,7.7524,7.9522,7.6325,7.7923,362000
7.6325,04/27/95,7.5126,7.7524,7.3927,7.6325,283200
7.4527,04/26/95,7.3128,7.6325,7.1929,7.4527,434600
7.3528,04/25/95,6.6734,7.3528,6.6734,7.3528,508100
6.7134,04/24/95,6.3537,6.7933,6.2339,6.7134,269800
6.3537,04/21/95,6.5536,6.5536,6.1939,6.3537,166200
6.4337,04/20/95,6.6734,6.6734,6.3537,6.4337,129800
6.6335,04/19/95,6.6335,6.9132,6.5536,6.6335,317100
6.6335,04/18/95,6.6734,6.8333,6.3537,6.6335,702900
6.3338,04/17/95,6.074,6.4337,6.0341,6.3338,468600
6.074,04/13/95,6.1939,6.3937,5.9941,6.074,216800
6.114,04/12/95,5.9142,6.154,5.7943,6.114,189300
5.9142,04/11/95,5.9142,5.9542,5.7943,5.9142,99100
5.9142,04/10/95,5.7144,5.9142,5.5945,5.9142,89400
5.5945,04/07/95,5.6345,5.6744,5.5545,5.5945,36200
5.6345,04/06/95,5.5545,5.6744,5.5545,5.6345,30900
5.5945,04/05/95,5.5945,5.7144,5.5146,5.5945,45100
5.7144,04/04/95,5.7543,5.8742,5.5945,5.7144,51400
5.8343,04/03/95,5.8343,5.9542,5.7543,5.8343,76900
5.8343,03/31/95,5.6744,5.8742,5.4347,5.8343,135100
5.5945,03/30/95,5.9142,5.9542,5.5545,5.5945,183500
5.9142,03/29/95,5.7144,6.154,5.6345,5.9142,514800
5.7144,03/28/95,5.4347,5.7943,5.3148,5.7144,230500
5.3947,03/27/95,5.115,5.3947,5.075,5.3947,92800
5.115,03/24/95,5.1949,5.2349,5.115,5.115,30300
5.1949,03/23/95,5.115,5.1949,5.115,5.1949,58500
5.2349,03/22/95,5.1949,5.2748,5.115,5.2349,26400
5.1949,03/21/95,5.1949,5.3148,5.1549,5.1949,30600
5.2748,03/20/95,5.2748,5.2748,5.1549,5.2748,35500
5.1949,03/17/95,5.3547,5.3547,5.1549,5.1949,42900
5.3547,03/16/95,5.2349,5.3547,5.2349,5.3547,31600
5.3148,03/15/95,5.3547,5.3947,5.3148,5.3148,26300
5.3148,03/14/95,5.4746,5.4746,5.2748,5.3148,36400
5.4746,03/13/95,5.4347,5.5146,5.3547,5.4746,39200
5.4746,03/10/95,5.4746,5.5545,5.3947,5.4746,173600
5.3947,03/09/95,5.2349,5.4746,5.2349,5.3947,55200
5.3547,03/08/95,5.1949,5.3547,5.1949,5.3547,69600
5.1549,03/07/95,5.2748,5.3547,5.075,5.1549,108100
5.3547,03/06/95,5.2748,5.3947,5.2748,5.3547,72000
5.3547,03/03/95,5.4746,5.5146,5.3547,5.3547,72700
5.3947,03/02/95,5.3148,5.4746,5.2349,5.3947,136500
5.1949,03/01/95,5.2349,5.3148,5.1949,5.1949,64400
5.1949,02/28/95,5.1549,5.2349,5.1549,5.1949,33200
5.2349,02/27/95,5.115,5.2349,5.115,5.2349,38600
5.115,02/24/95,5.115,5.1949,5.115,5.115,42500
5.1549,02/23/95,5.1549,5.1949,5.075,5.1549,84700
5.115,02/22/95,5.1549,5.1549,4.9951,5.115,35600
5.115,02/21/95,5.0351,5.1549,5.0351,5.115,24200
5.055,02/17/95,5.1549,5.1549,5.0351,5.055,31000
5.1549,02/16/95,5.1549,5.1549,5.075,5.1549,51000
5.14,02/15/95,5.0351,5.2149,4.9152,5.14,154600
4.9152,02/14/95,4.9551,5.0351,4.9152,4.9152,31100
4.9551,02/13/95,4.9951,4.9951,4.9152,4.9551,33200
4.9551,02/10/95,4.9951,4.9951,4.9152,4.9551,24300
4.9551,02/09/95,4.9551,5.0351,4.9152,4.9551,50200
4.9152,02/08/95,4.9152,5.0351,4.9152,4.9152,25600
5.0351,02/07/95,5.0351,5.075,4.9152,5.0351,59300
5.0351,02/06/95,4.9551,5.075,4.9551,5.0351,40600
4.8161,02/03/95,4.6569,4.9355,4.6569,4.8161,86100
4.7166,02/02/95,4.6967,4.7365,4.5773,4.7166,45400
4.6569,02/01/95,4.617,4.6967,4.5773,4.6569,67400
4.6569,01/31/95,4.7763,4.8559,4.5773,4.6569,100800
4.7763,01/30/95,4.7763,4.8957,4.7763,4.7763,60000
4.8957,01/27/95,4.7763,4.8957,4.7763,4.8957,38800
4.7763,01/26/95,4.9355,4.9355,4.7763,4.7763,80800
4.9355,01/25/95,4.9355,4.9753,4.8161,4.9355,76600
4.9355,01/24/95,4.8559,4.9753,4.8559,4.9355,84300
4.9753,01/23/95,5.0947,5.0947,4.8161,4.9753,184100
5.1345,01/20/95,5.0947,5.1345,4.9753,5.1345,35300
5.0748,01/19/95,5.1743,5.2937,4.8957,5.0748,295500
5.1345,01/18/95,5.3733,5.4529,5.0947,5.1345,215600
5.4131,01/17/95,5.8111,5.8111,5.2937,5.4131,335700
5.4927,01/16/95,5.2937,5.5325,5.2937,5.4927,160500
5.3733,01/13/95,5.3733,5.4131,5.2937,5.3733,102400
5.3335,01/12/95,5.1345,5.3335,5.0549,5.3335,271100
5.1345,01/11/95,5.1743,5.2539,4.9753,5.1345,114200
5.1743,01/10/95,5.1743,5.2539,5.0151,5.1743,87000
5.0947,01/09/95,5.0151,5.2539,5.0151,5.0947,67800
5.0151,01/06/95,4.9753,5.1345,4.9753,5.0151,50200
4.9753,01/05/95,5.0151,5.0947,4.8957,4.9753,27900
5.0151,01/04/95,4.9355,5.0151,4.8559,5.0151,69700
4.9355,01/03/95,5.0549,5.1743,4.9355,4.9355,47800
5.0549,12/30/94,5.0549,5.2141,5.0549,5.0549,15800
5.1743,12/29/94,5.2141,5.2141,5.0549,5.1743,35800
5.2141,12/28/94,5.1743,5.2141,5.0151,5.2141,95200
5.0947,12/27/94,5.0549,5.2539,5.0549,5.0947,53300
5.0151,12/23/94,5.2539,5.2539,5.0151,5.0151,38900
5.1743,12/22/94,5.2141,5.3335,5.1345,5.1743,83900
5.2141,12/21/94,5.1743,5.2141,4.9753,5.2141,104500
5.0151,12/20/94,4.8559,5.0549,4.8559,5.0151,117800
4.8957,12/19/94,5.0151,5.0947,4.8161,4.8957,104900
5.0549,12/16/94,5.1345,5.2141,4.8559,5.0549,125100
5.1345,12/15/94,4.6967,5.2937,4.6967,5.1345,346500
4.7763,12/14/94,4.4976,4.8957,4.4976,4.7763,222700
4.4976,12/13/94,4.4976,4.617,4.3782,4.4976,35300
4.3782,12/12/94,4.4976,4.4976,4.3384,4.3782,23400
4.3782,12/09/94,4.3782,4.418,4.2588,4.3782,61900
4.2986,12/08/94,4.5375,4.6569,4.2986,4.2986,99600
4.617,12/07/94,4.5375,4.6569,4.4579,4.617,56400
4.617,12/06/94,4.4579,4.6569,4.4579,4.617,76800
