dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2016-04-08,23.42,23.42,23.42,23.42,000,23.42
2016-04-07,23.09,23.09,23.09,23.09,000,23.09
2016-04-06,23.389999,23.389999,23.389999,23.389999,000,23.389999
2016-04-05,23.07,23.07,23.07,23.07,000,23.07
2016-04-04,23.49,23.49,23.49,23.49,000,23.49
2016-04-01,23.41,23.41,23.41,23.41,000,23.41
2016-03-31,23.559999,23.559999,23.559999,23.559999,000,23.559999
2016-03-30,23.76,23.76,23.76,23.76,000,23.76
2016-03-29,23.530001,23.530001,23.530001,23.530001,000,23.530001
2016-03-28,23.18,23.18,23.18,23.18,000,23.18
2016-03-24,23.07,23.07,23.07,23.07,000,23.07
2016-03-23,23.26,23.26,23.26,23.26,000,23.26
2016-03-22,23.440001,23.440001,23.440001,23.440001,000,23.440001
2016-03-21,23.530001,23.530001,23.530001,23.530001,000,23.530001
2016-03-18,23.610001,23.610001,23.610001,23.610001,000,23.610001
2016-03-17,23.629999,23.629999,23.629999,23.629999,000,23.629999
2016-03-16,23.49,23.49,23.49,23.49,000,23.49
2016-03-15,23.219999,23.219999,23.219999,23.219999,000,23.219999
2016-03-14,23.43,23.43,23.43,23.43,000,23.43
2016-03-11,23.450001,23.450001,23.450001,23.450001,000,23.450001
2016-03-10,22.93,22.93,22.93,22.93,000,22.93
2016-03-09,22.950001,22.950001,22.950001,22.950001,000,22.950001
2016-03-08,22.809999,22.809999,22.809999,22.809999,000,22.809999
2016-03-07,23.030001,23.030001,23.030001,23.030001,000,23.030001
2016-03-04,23.110001,23.110001,23.110001,23.110001,000,23.110001
2016-03-03,22.959999,22.959999,22.959999,22.959999,000,22.959999
2016-03-02,22.83,22.83,22.83,22.83,000,22.83
2016-03-01,22.780001,22.780001,22.780001,22.780001,000,22.780001
2016-02-29,22.23,22.23,22.23,22.23,000,22.23
2016-02-26,22.280001,22.280001,22.280001,22.280001,000,22.280001
2016-02-25,22.35,22.35,22.35,22.35,000,22.35
2016-02-24,21.969999,21.969999,21.969999,21.969999,000,21.969999
2016-02-23,22.139999,22.139999,22.139999,22.139999,000,22.139999
